cnty,name,price,state
new-castle-county-de,New Castle County,279158,DE
sussex-county-de,Sussex County,328465,DE
alachua-county-fl,Alachua County,221167,FL
baker-county-fl,Baker County,199098,FL
bay-county-fl,Bay County,245269,FL
bradford-county-fl,Bradford County,144185,FL
brevard-county-fl,Brevard County,251335,FL
broward-county-fl,Broward County,304393,FL
calhoun-county-fl,Calhoun County,111345,FL
charlotte-county-fl,Charlotte County,245475,FL
citrus-county-fl,Citrus County,189180,FL
clay-county-fl,Clay County,246381,FL
collier-county-fl,Collier County,370708,FL
columbia-county-fl,Columbia County,170335,FL
desoto-county-fl,DeSoto County,144933,FL
dixie-county-fl,Dixie County,106976,FL
duval-county-fl,Duval County,225143,FL
escambia-county-fl,Escambia County,183606,FL
flagler-county-fl,Flagler County,254048,FL
franklin-county-fl,Franklin County,295528,FL
gadsden-county-fl,Gadsden County,117153,FL
gilchrist-county-fl,Gilchrist County,186046,FL
glades-county-fl,Glades County,143590,FL
gulf-county-fl,Gulf County,229495,FL
hamilton-county-fl,Hamilton County,105169,FL
hardee-county-fl,Hardee County,127740,FL
hendry-county-fl,Hendry County,146568,FL
hernando-county-fl,Hernando County,210196,FL
highlands-county-fl,Highlands County,160185,FL
hillsborough-county-fl,Hillsborough County,272190,FL
holmes-county-fl,Holmes County,111476,FL
indian-river-county-fl,Indian River County,255157,FL
jackson-county-fl,Jackson County,117165,FL
jefferson-county-fl,Jefferson County,165590,FL
lafayette-county-fl,Lafayette County,141729,FL
lake-county-fl,Lake County,252232,FL
lee-county-fl,Lee County,259893,FL
leon-county-fl,Leon County,208777,FL
levy-county-fl,Levy County,148611,FL
liberty-county-fl,Liberty County,128353,FL
madison-county-fl,Madison County,108929,FL
manatee-county-fl,Manatee County,305546,FL
marion-county-fl,Marion County,177209,FL
martin-county-fl,Martin County,324470,FL
miami-dade-county-fl,Miami-Dade County,348270,FL
monroe-county-fl,Monroe County,637592,FL
nassau-county-fl,Nassau County,330318,FL
okaloosa-county-fl,Okaloosa County,276798,FL
okeechobee-county-fl,Okeechobee County,179695,FL
orange-county-fl,Orange County,291509,FL
osceola-county-fl,Osceola County,251507,FL
palm-beach-county-fl,Palm Beach County,318338,FL
pasco-county-fl,Pasco County,226123,FL
pinellas-county-fl,Pinellas County,278309,FL
polk-county-fl,Polk County,212641,FL
putnam-county-fl,Putnam County,151896,FL
st.-johns-county-fl,St. Johns County,358797,FL
st.-lucie-county-fl,St. Lucie County,250869,FL
santa-rosa-county-fl,Santa Rosa County,260550,FL
sarasota-county-fl,Sarasota County,307681,FL
seminole-county-fl,Seminole County,294830,FL
sumter-county-fl,Sumter County,295237,FL
suwannee-county-fl,Suwannee County,146888,FL
taylor-county-fl,Taylor County,112211,FL
union-county-fl,Union County,151133,FL
volusia-county-fl,Volusia County,240817,FL
wakulla-county-fl,Wakulla County,196075,FL
walton-county-fl,Walton County,463390,FL
washington-county-fl,Washington County,122002,FL
appling-county-ga,Appling County,98958,GA
atkinson-county-ga,Atkinson County,81978,GA
bacon-county-ga,Bacon County,95556,GA
baker-county-ga,Baker County,91536,GA
baldwin-county-ga,Baldwin County,145460,GA
banks-county-ga,Banks County,191696,GA
