cnty,state,name,age
polk-county-ga,GA,Polk County,73.72857142857143
pulaski-county-ga,GA,Pulaski County,74.73333333333333
putnam-county-ga,GA,Putnam County,75.76666666666667
quitman-county-ga,GA,Quitman County,77.7
rabun-county-ga,GA,Rabun County,78.75999999999999
randolph-county-ga,GA,Randolph County,75.15
richmond-county-ga,GA,Richmond County,73.71463414634145
rockdale-county-ga,GA,Rockdale County,77.67333333333333
schley-county-ga,GA,Schley County,77.1
screven-county-ga,GA,Screven County,75.18
seminole-county-ga,GA,Seminole County,73.7
spalding-county-ga,GA,Spalding County,73.55833333333334
stephens-county-ga,GA,Stephens County,73.74
stewart-county-ga,GA,Stewart County,76.75
sumter-county-ga,GA,Sumter County,75.9
talbot-county-ga,GA,Talbot County,74.69999999999999
taliaferro-county-ga,GA,Taliaferro County,75.6
tattnall-county-ga,GA,Tattnall County,74.50000000000001
taylor-county-ga,GA,Taylor County,74.53333333333333
telfair-county-ga,GA,Telfair County,78.7
terrell-county-ga,GA,Terrell County,74.175
thomas-county-ga,GA,Thomas County,75.32727272727273
tift-county-ga,GA,Tift County,75.92222222222222
toombs-county-ga,GA,Toombs County,74.36666666666666
towns-county-ga,GA,Towns County,79.63333333333333
treutlen-county-ga,GA,Treutlen County,76.6
troup-county-ga,GA,Troup County,75.91428571428571
turner-county-ga,GA,Turner County,74.9
twiggs-county-ga,GA,Twiggs County,74.55
union-county-ga,GA,Union County,77.675
upson-county-ga,GA,Upson County,73.07142857142857
walker-county-ga,GA,Walker County,75.41538461538461
walton-county-ga,GA,Walton County,76.55333333333334
ware-county-ga,GA,Ware County,72.66666666666667
warren-county-ga,GA,Warren County,71.80000000000001
washington-county-ga,GA,Washington County,77.34
wayne-county-ga,GA,Wayne County,74.58333333333334
webster-county-ga,GA,Webster County,77.55
wheeler-county-ga,GA,Wheeler County,77.3
white-county-ga,GA,White County,78.28
whitfield-county-ga,GA,Whitfield County,77.59444444444443
wilcox-county-ga,GA,Wilcox County,73.275
wilkes-county-ga,GA,Wilkes County,75.55000000000001
wilkinson-county-ga,GA,Wilkinson County,74.2
worth-county-ga,GA,Worth County,74.3
hawaii-county-hi,HI,Hawaii County,80.73030303030302
honolulu-county-hi,HI,Honolulu County,81.29411764705884
kauai-county-hi,HI,Kauai County,84.46666666666667
maui-county-hi,HI,Maui County,80.88181818181818
adair-county-ia,IA,Adair County,78.13333333333333
adams-county-ia,IA,Adams County,78.1
allamakee-county-ia,IA,Allamakee County,79.88000000000001
appanoose-county-ia,IA,Appanoose County,76.86000000000001
audubon-county-ia,IA,Audubon County,77.50000000000001
benton-county-ia,IA,Benton County,80.77142857142857
black-hawk-county-ia,IA,Black Hawk County,77.95294117647059
boone-county-ia,IA,Boone County,80.45714285714287
bremer-county-ia,IA,Bremer County,81.0375
buchanan-county-ia,IA,Buchanan County,79.06666666666668
buena-vista-county-ia,IA,Buena Vista County,80.11666666666666
